"block_number","trial_number","trial_type","event_type","experiment_start_timestamp","block_start_timestamp","trial_start_timestamp","event_start_timestamp","video_display_request_timestamp","response_touch_timestamp","trial_offset","event_offset","response_time","response","response_accuracy"
"0","1","6","Fixation","1647916111846","1647916116912","1647916116912","1647916116912","1647916116912",".","0","0",".",".","."
"0","1","6","Stimulus","1647916111846","1647916116912","1647916116912","1647916117416","1647916117416",".","0","504",".",".","."
"0","1","6","Response",".",".",".",".",".","1647916118436","0",".","1020","R","1"
"0","1","6","Feedback","1647916111846","1647916116912","1647916116912","1647916118438","1647916118438",".","0","1526",".",".","."
"0","2","5","Fixation","1647916111846","1647916116912","1647916118941","1647916118941","1647916118941",".","2029","0",".",".","."
"0","2","5","Stimulus","1647916111846","1647916116912","1647916118941","1647916119443","1647916119443",".","2029","502",".",".","."
"0","2","5","Response",".",".",".",".",".","1647916120229","2029",".","786.0000000000005","L","1"
"0","2","5","Feedback","1647916111846","1647916116912","1647916118941","1647916120231","1647916120231",".","2029","1290",".",".","."
"0","3","1","Fixation","1647916111846","1647916116912","1647916120734","1647916120734","1647916120734",".","3822","0",".",".","."
"0","3","1","Stimulus","1647916111846","1647916116912","1647916120734","1647916121237","1647916121238",".","3822","503",".",".","."
"0","3","1","Response",".",".",".",".",".","1647916121872","3822",".","634","L","1"
"0","3","1","Feedback","1647916111846","1647916116912","1647916120734","1647916121872","1647916121872",".","3822","1138",".",".","."
"0","4","4","Fixation","1647916111846","1647916116912","1647916122375","1647916122375","1647916122375",".","5463","0",".",".","."
"0","4","4","Stimulus","1647916111846","1647916116912","1647916122375","1647916122878","1647916122878",".","5463","503",".",".","."
"0","4","4","Response",".",".",".",".",".","1647916123539","5463",".","661","R","1"
"0","4","4","Feedback","1647916111846","1647916116912","1647916122375","1647916123540","1647916123540",".","5463","1165",".",".","."
"0","5","3","Fixation","1647916111846","1647916116912","1647916124043","1647916124043","1647916124043",".","7131","0",".",".","."
